Police_Stn,Type,Latitude,Longitude,Time,Year,Month,Date
Dematagoda,Rape,6.9316,79.8799,1900,2017,1,30
Grand Pass,Murder,6.9405,79.8701,2030,2017,1,30
Kirullapone,Robbery,6.8806,79.8824,1830,2017,1,30
Maradana,Robbery,6.9308,79.8551,1610,2017,1,30
Modara,Robbery,6.9665,79.8778,1810,2017,1,30
Dematagoda,Theft,6.9307,79.8799,1945,2017,1,31
Grand Pass,Murder,6.9494,79.8738,1845,2017,1,31
Wellawatta,Drugs,6.8834,79.869,1515,2017,1,31
Armour_Street,House Braking,6.9359,79.8562,1130,2017,2,1
Kirullapone,Robbery,6.8753,79.8856,2000,2017,2,1
Modara,Assult,6.974,79.8755,2300,2017,2,1
Dematagoda,Theft,6.9374,79.8812,1530,2017,2,2
Narahenpita,House Braking,6.8917,79.872,945,2017,2,2
Borella,Robbery,6.9094,79.8859,1420,2017,2,3
Modara,Murder,6.9714,79.8699,1930,2017,2,3
Modara,Drugs,6.9625,79.8682,1345,2017,2,3
Fort,Drugs,6.9357,79.8466,1845,2017,2,4
Kotahena,Murder,6.9429,79.8551,1945,2017,2,4
Maligawatta,Theft,6.9391,79.8743,1945,2017,2,4
Slave Island,Theft,6.927,79.8545,1500,2017,2,4
Kotahena,Drugs,6.9436,79.8606,1225,2017,2,5
Maligawatta,Theft,6.9408,79.8776,2030,2017,2,5
Narahenpita,Drugs,6.8858,79.8715,1345,2017,2,5
Maradana,Theft,6.9275,79.8704,2150,2017,2,6
Slave Island,Theft,6.9262,79.851,1800,2017,2,6
Armour_Street,Robbery,6.9419,79.8622,1330,2017,2,7
Fort,Theft,6.9348,79.8443,1910,2017,2,7
Kirullapone,Robbery,6.8843,79.8823,1530,2017,2,7
Maligawatta,Assult,6.9407,79.8742,2050,2017,2,7
Narahenpita,Theft,6.8866,79.8612,1615,2017,2,7
Pettha,Drugs,6.9338,79.8543,1500,2017,2,7
Wellawatta,House Braking,6.8632,79.8617,1615,2017,2,7
Borella,House Braking,6.9101,79.8869,1130,2017,2,8
Borella,House Braking,6.9124,79.888,1630,2017,2,8
Maradana,Theft,6.9297,79.864,2330,2017,2,8
Bambalapitiya,Robbery,6.8918,79.8579,1730,2017,2,9
Dematagoda,House Braking,6.9306,79.8712,1700,2017,2,9
Maradana,Theft,6.9267,79.867,2150,2017,2,9
Modara,Murder,6.9708,79.8754,2130,2017,2,9
Narahenpita,House Braking,6.8849,79.8666,1530,2017,2,9
Armour_Street,Theft,6.9427,79.8638,1925,2017,2,10
Bambalapitiya,Robbery,6.8834,79.8608,1600,2017,2,10
Kollupitiya,Theft,6.9174,79.8486,1945,2017,2,10
Modara,Assult,6.9755,79.8715,2045,2017,2,10
Pettha,Robbery,6.9407,79.8536,1910,2017,2,10
Wellawatta,Drugs,6.8788,79.8586,1345,2017,2,10
Kollupitiya,Robbery,6.8954,79.8532,1325,2017,2,11
Armour_Street,Theft,6.9385,79.8562,1810,2017,2,12
Borella,Drugs,6.9188,79.8741,1400,2017,2,12
Kollupitiya,Theft,6.9125,79.85,1925,2017,2,12
Modara,Theft,6.9774,79.8745,1500,2017,2,12
Pettha,Robbery,6.9374,79.8531,1730,2017,2,12
Wellawatta,Theft,6.8779,79.8725,2100,2017,2,12
Grand Pass,Theft,6.9462,79.8743,2030,2017,2,13
Maligawatta,Assult,6.9349,79.8727,2050,2017,2,13
Grand Pass,House Braking,6.9433,79.877,1000,2017,2,14
Kollupitiya,Theft,6.9063,79.8553,1625,2017,2,14
Kotahena,Assult,6.9545,79.863,1830,2017,2,14
Pettha,Robbery,6.9369,79.8545,1645,2017,2,14
Bambalapitiya,House Braking,6.8943,79.8558,1200,2017,2,15
Borella,House Braking,6.9163,79.8771,1530,2017,2,15
Borella,Theft,6.9057,79.8788,2110,2017,2,15
Borella,Assult,6.9152,79.8849,2015,2017,2,15
Kirullapone,House Braking,6.8729,79.8747,1715,2017,2,15
Kollupitiya,House Braking,6.9026,79.8515,1145,2017,2,15
Borella,Robbery,6.92,79.8859,1800,2017,2,16
Narahenpita,House Braking,6.8967,79.8719,1830,2017,2,16
Pettha,Robbery,6.9381,79.8524,1430,2017,2,16
Wellawatta,House Braking,6.8695,79.8593,1830,2017,2,16
Kotahena,Robbery,6.9423,79.8567,1615,2017,2,17
Bambalapitiya,Drugs,6.8818,79.8594,1345,2017,2,18
Grand Pass,Theft,6.9497,79.8708,2015,2017,2,18
Maligawatta,Drugs,6.9347,79.8716,1415,2017,2,18
Modara,Theft,6.971,79.8724,1915,2017,2,18
Narahenpita,Robbery,6.8863,79.8764,1450,2017,2,18
Wellawatta,Theft,6.8644,79.8615,2130,2017,2,18
Kotahena,Murder,6.9569,79.8651,2210,2017,2,19
Pettha,Theft,6.9348,79.8496,2030,2017,2,19
Borella,Rape,6.924,79.883,2000,2017,2,20
Dematagoda,House Braking,6.934,79.8795,1030,2017,2,20
Grand Pass,Drugs,6.9473,79.8769,1415,2017,2,20
Maligawatta,Drugs,6.9365,79.8716,730,2017,2,20
Modara,Assult,6.9632,79.8763,1930,2017,2,20
Slave Island,House Braking,6.9207,79.8498,1245,2017,2,20
Armour_Street,Robbery,6.9348,79.8574,1600,2017,2,21
Borella,Theft,6.9253,79.8832,2350,2017,2,21
Grand Pass,House Braking,6.9501,79.8747,1820,2017,2,21
Grand Pass,Robbery,6.9495,79.8732,1325,2017,2,21
Kirullapone,House Braking,6.8814,79.8832,1350,2017,2,21
Kotahena,House Braking,6.947,79.86,1845,2017,2,21
Wellawatta,House Braking,6.8788,79.8649,730,2017,2,21
Borella,Robbery,6.9196,79.8822,1500,2017,2,22
Kollupitiya,House Braking,6.9063,79.8577,1245,2017,2,22
Maligawatta,Murder,6.9367,79.8686,2130,2017,2,22
Pettha,House Braking,6.9353,79.8504,1430,2017,2,22
Pettha,House Braking,6.9352,79.8523,1330,2017,2,22
Grand Pass,Assult,6.9621,79.8712,1945,2017,2,23
Kirullapone,House Braking,6.8834,79.8779,1800,2017,2,23
Kotahena,House Braking,6.9471,79.8634,1815,2017,2,23
Grand Pass,Assult,6.9612,79.8757,2145,2017,2,24
Armour_Street,Murder,6.9409,79.8636,2030,2017,2,25
Grand Pass,Robbery,6.9421,79.8682,1700,2017,2,25
Grand Pass,Theft,6.9555,79.8759,1420,2017,2,25
Kotahena,Theft,6.9502,79.8596,1910,2017,2,25
Modara,House Braking,6.9787,79.8736,1000,2017,2,25
Modara,House Braking,6.972,79.8772,1430,2017,2,25
Wellawatta,Theft,6.8736,79.8686,1625,2017,2,25
Armour_Street,Theft,6.9381,79.857,1830,2017,2,26
Modara,Rape,6.9714,79.8788,2230,2017,2,26
Modara,Murder,6.9759,79.8771,1945,2017,2,26
Armour_Street,Drugs,6.9369,79.8596,1530,2017,2,27
Kirullapone,House Braking,6.8808,79.8769,1015,2017,2,27
Modara,House Braking,6.9791,79.8768,315,2017,2,27
Modara,House Braking,6.9699,79.8817,1130,2017,2,27
Armour_Street,Theft,6.9333,79.8578,1915,2017,2,28
Bambalapitiya,House Braking,6.8949,79.8583,1430,2017,2,28
Grand Pass,Murder,6.9469,79.8741,1900,2017,2,28
Grand Pass,Murder,6.9573,79.8743,2230,2017,2,28
Kotahena,Theft,6.9445,79.8565,2130,2017,2,28
Maradana,Robbery,6.9264,79.8594,1530,2017,2,27
Fort,Drugs,6.9339,79.8444,1700,2017,3,1
Grand Pass,Murder,6.9504,79.8727,2145,2017,3,1
Modara,Drugs,6.9619,79.8636,1300,2017,3,2
Narahenpita,Theft,6.8898,79.8651,1950,2017,3,2
Kirullapone,Robbery,6.8743,79.8804,1815,2017,3,3
Maligawatta,Theft,6.9369,79.8711,2115,2017,3,3
Dematagoda,Theft,6.9288,79.8839,1645,2017,3,4
Kirullapone,Robbery,6.8879,79.8778,1700,2017,3,4
Slave Island,Robbery,6.9288,79.8514,1515,2017,3,4
Dematagoda,Theft,6.9294,79.8792,1815,2017,3,5
Armour_Street,Theft,6.9389,79.8611,2100,2017,3,6
Pettha,Theft,6.9358,79.853,1710,2017,3,6
Pettha,Rape,6.9389,79.8517,2045,2017,3,6
Pettha,Drugs,6.9367,79.8511,1400,2017,3,6
Slave Island,Robbery,6.9191,79.8502,1420,2017,3,6
Kirullapone,House Braking,6.8759,79.883,1430,2017,3,7
Armour_Street,Theft,6.9422,79.8598,1600,2017,3,8
Bambalapitiya,Robbery,6.8819,79.8564,1650,2017,3,8
Kurunduwaththa,House Braking,6.9108,79.8732,1950,2017,3,8
Maligawatta,Murder,6.9341,79.873,1750,2017,3,8
Slave Island,Robbery,6.9225,79.8501,1630,2017,3,8
Slave Island,Theft,6.9256,79.8541,1715,2017,3,8
